UP_list	DOWN_list
HERC4	PUM1
C2CD5	COPS8
FXYD3	GID8
FAM98B	B9D1
PPP1R15A	INTS11
MLST8	TCF7L2
NDUFB6	TRA2A
FAM122B	MBNL2
pri-3-hsa-mir-4304	DNAJB5
hsa-mir-5684	GBP5
MYBPC1	CNOT11
DHX9	IRX4
CEACAM4	CLEC2D
C2CD4B	CASC4
INPP5J	RP11-923I11.8
ALDH3B2	PANK2
ZNF134	JSRP1
ZNF446	LMNA
PRR22	SNORA80D
RP11-65F13.2	CEACAM5
ZNF726	hsa-mir-4660
SERPINA5	ZNF783
CATG00000000639.1	CRADD
TMA7	IFITM2
RASGRF1	MSANTD4
NPAS3	PDK2
RIN3	POLR3H
IFT88	HLA-DPA1
MT-CO3	HIST1H2BD
AC011747.7	CCSAP
TM4SF19	CHTF18
HIST1H3A	CYB561
ASIC3	RMDN1
ENAH	DCLRE1C
SMC1A	FIP1L1
BCL2L1	KHDC1
PARP3	ZNF33B
HNF4A	ACTN4
pri-3-hsa-mir-5692a-1	POLB
OR13G1	RP11-222A5.1
GABPB1	SUFU
ZNF695	CLCC1
LPAR1	CXCR4
RAB12	C20orf194
NRDC	CUL4A
KIF14	WDR33
FAM172A	RNF103-CHMP3
PRG4	C12orf43
KRT75	NABP1
CDC42EP3	CHKB-CPT1B
CEBPZOS	CTC-548K16.1
NSL1	RP5-1160K1.6
UPP2	LAMTOR4
CSF2RA	CDC16
MOB4	C8orf34
USP38	KBTBD2
TTC8	FNBP1
SPRED3	ITGBL1
P4HA1	PA2G4
SLC3A2	PQBP1
CPED1	FAM65A
GAPVD1	TNNT2
LECT2	TMEM205
RP11-99H8.1	FAAP20
RPP30	AKAP10
SAP30	NEK11
FLOT1	SERF1A
MIS12	SURF4
LSR	CDKN1B
ITGB1BP1	AC008268.3
MIGA1	RBSN
TCHH	PRIM2
FOXP3	BAIAP2
RP11-872J21.3	NRBP1
ASB2	IKZF3
CNNM2	ZNF385B
RP11-467L20.10	IL1RAP
PLIN2	TMEM229B
CATG00000101346.1	GPRIN1
CSGALNACT1	NTM
ARID1A	PPIE
CD47	TOM1L2
C5orf24	LARP4
CTF1	VEZT
CRHR1	LPIN1
ARV1	PRPF4B
RUNX1T1	RNMTL1
VPS36	FDFT1
RIMS4	KIAA1551
PROSER3	RPS16
PTMA	MBNL1-AS1
ZNF358	HOXB9
FBLIM1	pri-3-hsa-mir-6877
RP3-433F14.3	STX6
HCRTR1	IMPA1
NCOA1	NR4A3
DCTN3	VPS72
CCNG1	ATE1
AAGAB	ZNF121
MRPL19	SFN
SNORA70C	CATG00000094595.1
CFLAR	SPINT2
CCDC47	RP11-31F15.1
SNORA70B	FXYD5
FAM172A	CATG00000022755.1
RP11-167H9.4	AZIN2
PPP4R3B	SLC39A13
FIG4	C14orf93
FLVCR2	NBPF10
SENP1	PCDHA2
TNS3	GBAS
CATG00000031515.1	LMO3
PPP1R21	ADAMTSL5
YIPF5	EEF2KMT
CATG00000112865.1	BANF2
HADH	ZNF462
NKTR	PDXDC1
CCDC159	CAMKK2
ZFP3	ZNF354A
LINC00364	EXOSC1
LTB4R	ATG13
NDUFAF5	WDR11
CAMK1D	HSPA9
MTRF1L	PODXL
FLOT2	SLMAP
RAF1	CHD1L
IFNAR2	PALM
TCF12	FAM120A
CLNS1A	DMKN
RP11-332H18.4	SPIDR
IFT52	STK38
BLOC1S2	TNFAIP2
GPR183	GNA14
CXXC5	CTD-2020K17.1
CATG00000062999.1	RP11-60I3.5
TIE1	KLF3
CALHM1	LL0XNC01-157D4.1
LATS1	ZNF248
TTC14	FAU
ACSL6	AGO2
MOGS	ARNTL
CARS2	PTPN12
EVI5	IQCE
FOLH1	DHX8
LOC100422556	PITPNB
SIGLEC8	pri-3-hsa-mir-6800
SMAP1	CCBL2
SLC25A46	ABI1
RP11-296O14.3	SNRPD2
H1F0	IWS1
DST	CCDC66
GEMIN8	NIPA2
SNHG12	ARID3C
CCDC91	DLGAP1
ASPRV1	ATXN3
ZNF329	ENOSF1
P4HA2	IFT81
TACC1	RRP36
PRDX3	pri-3-hsa-mir-4538
SKAP1	MBNL1
AKIRIN1	MAPK9
TBX3	KCNH1
SENP7	ILF3
C15orf59	MFSD4A
TMEM44	PSPC1
SLC5A3	MSH6
MPST	HSD17B7
ATE1	ADNP
RAB44	ZNF615
CLOCK	MUC1
SIMC1	NEK11
IL32	PCMTD2
HEG1	MLX
CCDC12	QTRT1
TROVE2	RP11-63P12.6
ADI1	CAMKMT
NKRF	STK10
PDXDC1	ZNF7
DNAJB4	OSBPL1A
SORBS3	UBE2D2
OR9Q1	TINCR
WBP2	BIN1
FGFBP3	TCHP
TRIM71	RF00408
ICAM2	CCDC149
ARMC10	GSPT1
FGFRL1	CKAP2
COL13A1	RPAP2
AP000679.2	CNOT8
DACH1	RPPH1
TEAD2	TST
ELOA	ZBTB7A
MEPCE	LMNA
ACOT4	GTF2H3
TPM2	SAE1
MAB21L1	STXBP2
PTGFR	METTL24
HDHD2	DYNC1LI2
ZEB2	TM9SF1
PHF5A	CADM3
MAPK3	TBC1D22B
pri-5-hsa-mir-330	KAT6B
SKIL	AC007064.24
ZNF28	PRDX5
GMIP	APOBEC3B
FAM43B	ZSCAN9
AP2M1	SEC61G
C14orf142	C2CD5
ZC3HC1	DCAF16
TAF1	TNNT2
ATG10	ZCCHC8
MSRB2	C9orf78
DDR1	MED13
RASA2	RP11-452N4.1
MICAL2	EBF1
SLC43A2	FBXO41
RILP	VEGFB
KRIT1	RAC2
TIPARP	AF011889.4
KREMEN2	COPS4
SYPL1	RP4-794H19.2
IFI16	KRT8
GPR155	UBAP2L
DYX1C1-CCPG1	CTSA
PRDX6	KLHDC9
SSR1	MFSD14C
SLC44A1	ACOT11
ACTG2	MAST4
OGFOD1	NKIRAS2
PRPF18	IKZF5
TMEM50A	CCDC66
C2orf71	hsa-mir-5699
BBS1	PHYHIP
ANKRD36B	RP11-809N8.4
ARMC10	TUBGCP3
ASPH	CCDC142
MT1H	GUCY1A3
C6orf52	MAP3K3
ZNF131	ELAVL4
SEL1L3	SDR39U1
IFNAR2	MLF1
LYPD3	NOSTRIN
SLC6A2	VEZF1
TTC39C	DYX1C1
FBXO3	GDAP2
SP140	PDLIM3
TPT1	MARK4
HEATR9	ATF3
CADM2	ZNF282
SOX18	DYRK2
TNS2	ARFGAP3
NUS1	H3F3A
ZNF410	PPP3CB
TNFRSF21	PARVB
MIS18BP1	C9orf24
WNK2	EEF2K
RF00156	VEPH1
SETD1B	SYNPO
ASB6	EXOSC1
HNRNPA2B1	KCTD14
CDC25B	ZNF674
ZNF347	GCSH
AC007391.2	SEPHS1
DNAL4	PDE8B
POLR1E	PDS5A
DDX59	pri-3-hsa-mir-7975
ZBTB8OS	GSR
ZSCAN18	R3HDM1
EGR3	EGFL7
FRAT1	MEF2C
EFL1	CDK11B
KANSL3	SNORD11
BNIP1	XPC
TFRC	AQP3
BCLAF1	SOX12
CHURC1	HOOK1
CEP57	AC092580.4
C8orf4	CTC-429P9.4
TNFSF13B	CRNDE
CHTOP	ZNF195
TP53RK	HNRNPU
MYO15A	LILRB1
ODAM	TCF25
ST3GAL1	ARHGAP30
POLR2F	HMBOX1
GIMAP1	ARSA
FGR	APLP2
BTBD1	BAIAP2L2
CATG00000069919.1	TXNL4B
MEGF10	CCDC127
AK6	DCAF8
FAM13B	PSIP1
ADK	SUPT3H
CELA3A	UAP1
SIGLEC9	SYF2
TTC26	AGPAT6
S100A13	RGL2
RPS26	SS18L1
NBPF12	SENP5
ZNF805	NT5C3A
TRAF3	COL4A3
FZD5	LMNB1
HGF	BCORL1
ASPN	KIF11
UFL1	TPGS2
SCN2A	EPB41L2
CCDC64B	MAP3K10
RP11-159F24.1	ROR2
MAOB	RBM42
KLK3	ZNF12
RNF10	TFG
PDE6B	GOLGB1
AL035610.1	NR2C2
HERC2	YIF1A
RAB2B	C5
CCDC41	ZNF787
REV1	CLTB
FBXO7	PDE4D
ATF2	PDCD5
APLF	MEF2C
NCF2	EMP3
RP11-398K22.12	MYLK
TCTN3	NUMA1
ZBP1	GPR135
VPS51	PLVAP
SNHG12	PTMS
MTHFD1	EIF6
SLC25A39	KCNH1
SRPK2	TERT
RGR	SP1
LRP11	TMEM25
TAF12	C1R
PHF23	ZNF407
POLR2H	CC2D2A
MYPOP	CCL5
IMPA2	IL11RA
SNX27	C20orf173
PXDN	MYO10
SFTPA1	MRPL23
LARP6	PFN2
PNPLA8	KCTD20
AC073263.4	SPG7
ARPC1B	CHSY1
PHF11	BOLA1
ADGRF3	ETV4
RAB1A	VEGFA
LRRFIP1	DTX4
TOR1AIP2	ATP2C1
GPX2	LCOR
SPIRE1	POLR3C
ARHGAP42	PLA2G4C
PCMT1	BAG6
ARL6IP6	CCDC15
CATG00000007838.1	NFIL3
CARD19	RP11-523L1.2
CNKSR2	MFF
ARL17B	SVBP
CCT7	ABCC4
UBTD2	EGFR
CD63	PTMS
RUVBL2	TNIP1
ATMIN	BCL2L12
KCNJ10	TMEM134
SLC39A5	CALCOCO1
SMDT1	PALLD
PDCD5	RPL31
RUNDC3A	PNKD
RP11-105N13.4	SERPINB1
TM4SF19	PTPRS
CATG00000030338.1	DISC1
CXorf24	RRM2B
KLRF1	SPAG9
ATP6V0A2	LRRC75A-AS1
DTNA	FANCI
AC144835.1	ZNF85
SCARF1	PARP2
MED7	RPA2
R3HDM2	CCT7
ZNF888	SLC4A7
MRPS7	EVA1C
CALD1	RP11-909M7.3
VAV1	PSMD10
DCAF11	IDH3G
CELF1	GJA4
ICA1	LILRB1
RP1-302D9.3	CSPP1
GLS2	MRPL21
PCDHB10	EEF1E1
RFT1	ZNF79
WHAMM	TMEM165
GSK3A	IGFBP5
DGKZ	ATPAF1
TOM1L2	MFSD8
LRCH1	CYP7B1
PCDHGA10	RHOA
MPHOSPH8	ATL2
CTC-308K20.1	SOX5
RFFL	CCDC74B
SDCBP	USP43
ADRA1B	GS1-124K5.11
NADK2	CCSER2
MPST	MXD1
GBGT1	NSUN4
ST6GALNAC1	G3BP2
DUSP22	B3GNT4
EMC10	ITPA
MAN2A1	ZNF577
CATG00000025525.1	LOC728323
COA1	WDR27
RPL37	ATP2C1
PGAP2	TFDP1
SHC1	SUMF1
FIZ1	DNAH9
MRPS18C	LYST
STAT3	ESYT3
JAKMIP1	CCNT2
SLC48A1	ERAP1
EXD3	HCFC1R1
PPP2R5A	SFTA2
BAP1	SMTN
STRADA	SUPT5H
NXF1	RP4-758J18.2
PTGES3	PPFIA1
pri-3-hsa-mir-4521	CEPT1
C9orf43	GGCT
PCMT1	CDC25B
SMAP1	LOC100131107
LRCH1	GCH1
HSP90AB1	AC068302.3
AP3B2	GSR
HOMER2	RP11-552E20.4
EBNA1BP2	PRR15L
TMTC2	INTS10
CTD-2081K17.1	PNPLA6
RP11-445F12.1	NAE1
GPR17	CAPN3
CA12	RPL31
TANK	URGCP-MRPS24
KIAA1522	FBXO32
CDK14	ZBTB44
NPEPPS	LRPPRC
CATG00000007650.1	HMGB3
BEND7	DDRGK1
NSD3	SPRTN
ATG101	GBA2
RP11-29H23.1	PQBP1
MYH11	GPR4
CPEB1	KIAA1191
RP11-589B3.6	NHP2
PHYHD1	TMEM9
FOXF1	ASTN2
CCDC51	VSIG2
AGER	GRHPR
TMA7	KAT6B
STOML1	RAB6A
RP11-456K23.1	SUPT3H
CGGBP1	ANKS6
TPM1	FAXDC2
CATG00000013175.1	DDX60L
SAE1	PALLD
ORMDL1	CDK19
HNRNPC	GATA2
PLEKHA5	VIMP
pri-5-hsa-mir-22	TMEM147
YIPF3	NEK11
CHCHD2	CATG00000013838.1
C16orf85	LMO3
DIO3OS	CEP63
ZNF7	ICAM1
RBM39	TNXB
RP11-75C9.1	NFIC
ASB8	VPS13D
pri-3-hsa-mir-548ap	ZNF765
ZFYVE27	GOLGA8B
PDGFA	HMGN3
RABGAP1L	CAMK4
ZNF518A	FAM136A
RP11-65F13.2	PCID2
E2F6	GNB3
ARMC7	CXorf40A
ARHGAP26	EPS8
DBI	DYRK1A
RPL36	RF00602
HIC1	pri-3-hsa-mir-6860
GLIPR2	SDSL
POLK	PRPSAP2
LDLRAD4	ATF6B
CEP135	PSTPIP1
TCAIM	CYB561A3
CIZ1	MORN1
BRSK1	HMGCL
CLDN14	RAP1GAP
STOML1	PPP1CA
CHN2	MED19
NDUFA1	LSM7
FKBP1A	FAM204A
APEH	EMC10
CDC5L	RF00139
DNMT3A	ICT1
C1orf162	SREK1
FN1	PPRC1
ZNF706	CDC6
ELP2	HAL
F10	PRKACA
OBSCN	ARFIP2
PPP1R18	ZNF738
C12orf72	TRIM7
CATG00000113928.1	RNF146
GIGYF1	CTD-2313N18.5
ALCAM	COX19
ZNF485	URB1
EML4	STMN3
ADAMTSL4-AS1	RP11-986E7.7
COMMD7	RABEPK
EAF2	RAB21
DDB2	RF00264
RPS4X	pri-3-hsa-mir-4433b
MALSU1	SFTA3
CDH23	CSDE1
ZNF655	SC5D
MUC4	BCAS3
LHX6	KRT18
NCKAP1L	SKP2
SLC30A6	MICAL1
IGSF11	FAAP20
SPDYA	NSD2
PEAR1	CAMK2G
AC004782.1	DOK7
MFSD11	STAU2
ZNF208	FJX1
ZNF837	EGFL6
ORMDL2	PIGQ
DEK	PTPN11
SYVN1	BIN1
PLXNB3	CHCHD3
NFXL1	VRK3
PAK1	SNX21
SRRD	RP11-760H22.2
SART3	TMEM14B
RP11-225H22.4	TCF15
PTPRC	WNT10B
ZNF664	SLMAP
CUL4A	CCDC122
DMD	MMS19
COBLL1	NFATC3
HBEGF	RREB1
SLC25A14	ITGA2
NIPA2	CALD1
MLLT4	CYTH2
CFLAR	CISD1
CPSF4	SNX21
LMLN	ZNF587B
LMCD1	BAMBI
CLLU1	BCO2
ARSA	HOXD9
PDE4B	LRP5L
WRB	SLC26A6
RP11-492E3.1	STX6
CATG00000026181.1	MRAP
pri-3-hsa-mir-4477b	LAMTOR4
CITED4	CATSPER2
STXBP3	DMXL1
RASSF2	FAM185A
PPP2R2D	TMEM188
HYAL1	TSEN54
TSPAN4	CD40
PRMT2	ANKH
ATP5O	CIB1
PYHIN1	ZNF101
COX16	LINC00266-3
CTNNA2	TUG1
CASP4	DCAF4
RGS5	FXN
PPIL6	CUL2
RP11-398C13.8	MAP3K13
BCL2L13	SULF2
CNOT10	LILRB3
TMEM126B	RP11-16N10.2
VPS29	DAPP1
ZSWIM8	PFKFB3
NDUFA2	VEGFB
TRIM6	GOLGA2P2Y
PPP2R2B	UBE2V1
COQ7	DTYMK
SLC22A23	pri-5-hsa-mir-6730
C14orf179	MSS51
SLC25A34	NSD2
DUSP22	LETMD1
HSPA8	ZNF195
NSA2	PNN
CHCHD1	NBPF1
FECH	DCAF5
SLC39A3	pri-3-hsa-mir-8068
THADA	HOXC6
SMARCA2	RP11-14N7.2
SNW1	GMPPB
SNORA3C	RC3H1
RP11-109J4.1	RP4-614O4.5
TGDS	RP11-37B2.1
CATG00000107270.1	ZNF655
INCA1	RAB38
MED4	BANF2
MTCH1	C12orf43
ACP1	ZNF484
SLC24A4	ITFG1
NTM	MYO9B
pri-3-hsa-mir-3649	RASAL3
NKX2-1	DNM3
GADD45A	TBC1D2
SAMD4A	ZNF32
ITLN1	MBP
AC020629.1	PDHX
NAV1	CASP7
MED11	SEC23A
OGT	RP11-357C3.3
BTN1A1	CD8A
IL11	EXOC1
TMEM160	MRPS31
VPS29	ZNF138
ARFGAP1	TOP2B
CMPK1	GUK1
PHYHD1	MCTP1
CALD1	MSH6
SOX6	pri-3-hsa-mir-571
UNC13A	ATP7A
USP15	SNORD63
SPCS2	CD46
ERMARD	ALOX5
GRIN2C	OSBPL3
CD86	TNF
PHKB	MESDC2
PTMS	ZNF775
ETNK1	pri-3-hsa-mir-6124
KMT5B	BLMH
SLC1A6	RCOR3
C15orf59	FGR
C15orf57	PACS1
PEPD	MLF1
WIF1	TMEM185A
EPAS1	PTGES2
TMEM200B	pri-3-hsa-mir-4489
GATA6	CNPY3
NR2C1	OR1M1
CYS1	pri-3-hsa-mir-6807
TIRAP	VPS29
SFTPA1	MAP7
STK38L	DDX19A
IDUA	CNPY4
PHTF1	KIAA1147
CD37	PSMD7
PWP1	ZC3H7A
AC099344.4	ETV3
ZNF438	SNX16
pri-5-hsa-mir-6734	CAMTA1
C17orf62	UPF3A
RP11-1079K10.3	RPS3
HABP2	LAIR1
TSEN2	EGLN1
GS1-124K5.14	MITD1
C5orf22	NDUFAF3
FKBP1AP1	RPP38
TLX3	RHPN1
DDX52	MCM9
BTN3A3	FAM217B
PGLYRP1	CREBL2
SLTM	CCAR1
SMPD1	PCSK1N
REV3L	TMEM2
SIK2	JARID2
WIPF1	VAV3
NLE1	CXCR4
RP11-108K14.8	TADA2A
TMEM87A	IFRD1
PQLC3	SMIM10L2A
PNPLA2	NAT1
RP11-579D7.4	IBTK
U2SURP	AURKAIP1
TCTN1	OARD1
RPS19	SNORA7B
FUBP1	UBE2D3
ACTL7B	C16orf87
CATG00000065115.1	FARP1
TMCO3	NAT10
SLC12A9	NDUFAF6
DNAJA1	LRRC47
ATG5	TCP11
EIF4G2	RNF8
C1orf167	TBX1
IKZF3	APP
SPRYD7	RUFY1
LDB2	MDM1
CLEC1A	CPD
KCNT2	DPM1
SEMA5B	APP
METTL16	BCL9L
N4BP2L1	GLIS3
C9orf9	BMP8B
PTTG1IP	PGRMC1
SLC25A24	TCAF2P1
HARS	LRCH4
EXOG	RP11-46B11.5
RBBP4	HELZ2
EDA	RF00405
CEP162	PIGC
RP11-145H9.3	RING1
RASGEF1A	GLRB
GADD45A	MLST8
CLIP4	IQCA1
GAB4	FGD4
MRPL54	AARSD1
SULT1A2	UAP1
INO80E	DIP2A
CLDN4	pri-3-hsa-mir-6804
TPM2	BIRC2
TMED9	pri-3-hsa-mir-3667
GEMIN4	HDAC9
ATXN10	RNF26
STRADA	NEDD4L
CATG00000115972.1	LUC7L
MCM7	SLC25A16
AGTR2	SIGLEC1
OR10H4	GAPVD1
MAP3K7CL	PCNP
CNOT8	RASGRF1
UBE2K	ADCY9
TMEM57	PRKRIP1
ENO3	LGMN
HADHA	ZNF706
RP11-20B7.1	EMC8
RP11-1217F2.15	MPHOSPH10
44627	PBLD
GATAD2B	DAP3
ANO10	COL9A2
TCF7L2	SCRN1
ALDH7A1	pri-3-hsa-mir-3202-2
hsa-mir-6803	KCTD21
PTGES3	MED16
ZDHHC24	IQGAP3
RP5-886K2.3	ACY1
NBPF10	CTD-2308B18.4
LAIR2	SPNS1
TTC39B	CATG00000097059.1
TEX2	ADGRG1
HIST1H4A	APLP1
LAMTOR4	PLCG1
EPPK1	TASP1
MRPS30	NDUFB7
NKRF	COG7
pri-3-hsa-mir-3128	RNF216
STMN1	IGF1R
DYNC1I1	ARMC6
PDZD11	ABL2
ADAP1	RBM24
TMEM50B	PRKAG2
UBA52	NDUFB5
ZNF534	SOD2
CCNB1IP1	NXN
YES1	PPP1R14C
BCKDHB	SIN3A
RP11-782C8.2	ZNF385B
C11orf63	USP32
MGAT4A	STRADA
MMRN1	PIN1
BIVM	AFTPH
KLHL2	ISOC1
NBPF10	TREM1
RP11-157P1.4	TMEM120A
RF00012	hsa-mir-6075
SYNJ2BP-COX16	SIRT2
MATN2	RP11-204J18.3
ATP5G2	MAP4K2
TP53INP2	TMEM59
NDUFAF4	TMEM42
SRSF10	RMND5B
PCDH9	DAB2IP
CALCRL	IL17RB
SPATS2	SIRPA
RP11-20J15.2	FKBP7
pri-3-hsa-mir-4748	ARFIP1
SPCS1	HIST1H2BI
TMPRSS3	RPS9
ANAPC16	GTPBP1
RP11-584P21.2	ITGB5
SIK3	RPRD2
ITIH5	STEAP2
ZNF384	SLC18B1
GNAS	BMP4
ELMOD2	GHITM
FASTKD5	CDS1
USF3	RF00564
LACTB	ARHGAP10
STMN1	LILRB2
RAN	GBX2
BRK1	TRAPPC3
ZFYVE27	NAIF1
RIOK3	GDA
GABPB1	RASSF4
RP11-277B15.2	ATP11C
RP3-454G6.2	ZC3H12A
ZNF28	TMEM56
APMAP	GMPR
CNTD2	JOSD1
TIMM23B	GPSM3
XPO6	TLR5
RP11-77C3.3	ST3GAL5
FAM76A	FBLIM1
PLBD1	TM9SF2
RP11-477I4.3	S100P
NR3C2	CCDC174
ACAD9	UBP1
ELK4	PPM1A
TIMM9	ILK
pri-3-hsa-mir-4636	LYRM1
IMPACT	BARD1
pri-3-hsa-mir-5695	ATP8A1
ATXN3	UCP2
FXYD2	TRIM13
CHRNA7	TPGS2
ASAP1	GNAS
ERMARD	KRTAP4-1
SETDB1	TLE4
pri-3-hsa-mir-3124	LDLRAD1
LACTB	LY9
ARMT1	GPX8
CSAD	BHMT2
VAV3	ZNF714
PDE6D	ZNF160
HLA-DMB	TBCK
RP5-877J2.1	SMPD1
IFT52	CCDC33
BBIP1	NUBP1
ZHX1-C8orf76	ZNF33A
GPR108	AC020594.5
NDRG2	ATXN7L1
FKBP1B	KIFC1
PLP2	NCR1
CELA2A	C11orf86
RP11-1A16.1	CDKN3
TSEN15	MAPKAPK2
GCSH	LDHA
RNF5	CTD-2514K5.2
SMIM24	TNRC6A
ZFAND6	pri-5-hsa-mir-4680
ZNF727	FTCDNL1
DLGAP2	OSTF1
CTNND1	pri-3-hsa-mir-4471
MEAF6	TPD52L2
OBSCN	hsa-mir-4721
NPL	ERGIC3
C18orf8	HADHB
TM2D1	ARMC10
YAF2	GADD45GIP1
ASPN	HIBADH
VDAC1	VWA5B1
PPIL3	RAB29
SYNGAP1	SYNE2
MAP2K5	LEMD3
NPL	ELL3
STMN4	TRAPPC6B
EIF2S2	ZNF773
DLEU1	SLMAP
RRS1	TK2
MZT2B	ACSL3
FUCA1	SOBP
NR2C1	AMT
RP11-522I20.3	ENPP5
FPGT	PFN1
RP11-437J2.3	APPL1
DOCK3	BOLA3
ZNF878	PDLIM5
RP11-179A10.1	ZNF3
CNOT8	HMGN3
EDIL3	TCIRG1
EPOR	CTC-499B15.5
CABP1	POGZ
PTGDS	RNF138
CYLD	FBRSL1
PSTPIP1	STK25
RPS19	VEZT
SPI1	CLDN1
ARMC10	MRPS35
MAPK14	ZDHHC2
ZNF34	CNBP
AHI1	ANKRD39
DOK7	PCK2
TMEM60	NAV2
ABLIM3	MS4A6A
C8orf31	BRD4
MIR99AHG	ING5
C6orf226	SNORA31
SPEG	GAPDH
GS1-124K5.11	SNX16
ZFP69	TTLL9
KCTD1	RPL18
ZNF233	PML
TRMT44	RNF145
PRPSAP2	FYB1
RF00156	SHC2
RP4-668E10.4	ZNF33A
DDX19B	IRS1
ATG3	COA6
IL18	COMT
LYPLA2	CNN2
ZNF697	FBXO18
BCL2L11	NRF1
TWIST2	IKBKG
TMEM184C	PNRC2
EIF2B2	USP4
CHCHD8	RHOT1
IL32	ARRDC3
APLP2	TMPO
S100A8	TFDP1
RP9	RP11-506B6.7
SULT1A1	NCOA1
YWHAZ	PHOSPHO2
TGFBR2	ADGRE1
TSPYL4	POSTN
RNASEH2B	KCNMB3
CYB5D2	CD177
SRP9	EVC
MDH1B	ARMCX3
TMEM107	NR1I3
USP54	KRT18
DGUOK	KDM1A
CTD-3074O7.5	RP11-114J13.1
CDV3	C1orf116
CATG00000016002.1	BRD1
PSMD6	TGFB2
SDR16C5	CATG00000004583.1
TRABD	YAP1
RP11-23I7.1	pri-3-hsa-mir-3665
RP11-749H17.1	ZNF417
RAD17	BBOF1
DAZAP2	PHF20L1
TRAPPC4	FBXL20
AC040160.13	ARHGAP20
DSTYK	PRKCI
INPP1	AADAC
UBE2K	ZBTB11
CATG00000092679.1	DKFZP586I1420
SLC35G1	ATP1A1
PPP1R36	FBXO16
YAF2	EIF2D
GPRIN2	TTC39A
FBP1	TPI1
ACAP2	PQLC2
CENPBD1	SIKE1
MRPL33	pri-3-hsa-mir-1245a
TPST1	IGF2BP3
CNN2	RARA
pri-3-hsa-mir-4454	BCAP29
KAT2B	PAWR
PLCD4	NRP2
HNF4A	TNFRSF13C
UTP3	RF00272
hsa-mir-1324	RING1
ZFP64	TFB1M
RBM38	CATG00000110325.1
FFAR4	RP4-717I23.3
pri-5-hsa-mir-6788	C1orf131
AZI2	GAA
RP11-849H4.2	TMEM30B
GRM4	TRIP4
NUBP1	PRMT1
BTN3A1	ANAPC7
CDIPT-AS1	ECSIT
AMPH	TMEM205
RPL5	ATXN3
hsa-mir-519d	FOXP1
MOGS	DENND1B
RF01210	HAX1
RP11-773D16.1	XPR1
FCN3	C15orf65
TMEM185B	MOB3A
HSP90AB1	ITSN1
CALD1	RNF170
RP11-573G6.6	PARP6
PPP2R2D	DPP7
SPATA22	ZNF148
FILIP1L	TRMT2A
ILF3	RF00275
ELAVL4	INTS10
NGDN	MTCH1
MT-ND2	IGSF11
ASB6	SNAI2
REXO2	GOSR1
AKAP12	DNAJC21
TSKU	MOB4
EXOC8	MDM4
PHF21B	ZNF480
ITGB1BP1	CYTH1
ABHD10	ALKBH6
KLK11	DHX8
IL37	DENND1B
TYW3	ZNF506
RF00012	METRNL
SZT2	CLIC1
FBXO7	ATP2C1
FUNDC1	KLF5
IL11RA	NFATC2IP
SMG8	POLD1
IGFL3	SMIM7
DNLZ	DIP2A
TRAPPC3	WDR3
KNG1	ST20
SKIL	PCDHA4
DHX9	ZNF33A
HSD17B11	STX18
SLC36A1	POLR3GL
EBNA1BP2	TRUB2
MRPS28	GREM1
KLF16	SIRT5
FCRL1	AJUBA
NOVA1	ZNF135
SHTN1	TPM1
IKBIP	ATP1A3
TLR2	OR6B2
URM1	NENF
GPAM	C19orf12
ATRX	FITM2
GAST	C15orf62
NEDD4L	SSH3
COG6	CA6
FBXO42	PTPRF
AC004540.5	COPZ1
PFKFB4	ACTR2
TYROBP	ZNF155
METTL18	TMEM14C
BFAR	ERCC2
BCL2L11	BRICD5
RP11-77P16.4	RALGAPB
RAPGEF1	CSDE1
RAPGEF1	FBN3
PSMC3IP	BBX
XRCC4	CCDC120
RF00554	ZNHIT6
NFX1	GEMIN8
PROSC	TVP23B
GK	LPIN1
AC015849.16	LLGL2
CFD	RNF14
RUFY3	PSMD4
RP11-523L20.2	JMJD6
C1orf43	ASGR1
ANAPC5	SLC27A3
AZI2	pri-3-hsa-mir-9500
CSF2RA	DMXL1
FSTL4	CD81
CRLS1	ZNF561
LAS1L	SNORA77
DSC3	TAOK3
IKBIP	THPO
SYNE1	SETDB2
NUP107	MYEF2
MSH3	PGK1
ZNF260	GSR
FNBP4	MINOS1
RNF223	ZC3H18
ZDHHC3	ULK1
TBC1D19	RSU1
OLR1	IFT20
ZSCAN5A	SEPHS1
ITFG1	MDM2
SLC22A4	INTS10
MS4A4A	CHCHD7
SYBU	SETD3
hsa-mir-548ay	UQCR10
SSTR4	RP11-983P16.4
CEP57	C14orf119
KLK2	INTS7
TFAM	ZC3H18
DIS3	FAM183B
FAM225B	CNOT4
KLHL5	BRWD1
SLC39A1	LRRC36
NCRNA00185	IL32
TMEM107	ACP6
LRIG3	XRCC6
LYRM9	ARRDC1
SNORD56B	WDR59
PCBP4	TAF1
HIC1	DDIT4L
TMCO4	BTRC
CAPN12	RAB5B
TMEM19	LCOR
CATG00000093295.1	LRRC28
TNFRSF14	RIN3
PTPRO	MTCH1
TCEAL1	CCSER2
ATP1B1	CXXC5
NFASC	RP11-406A20.1
GSS	ADAM33
FAM133B	CREM
SVIL-AS1	STRN
CAMK2G	TXLNG
pri-3-hsa-mir-3929	ZNF510
RP11-148O21.2	CAMKK2
RF00283	DRC1
ZMYM5	CFAP44
CASP10	CHKB
RP11-736I24.5	LDLR
TMEM104	CD68
AL121901.1	NCRNA00115
INTS10	NDRG1
TMEM242	EIF2AK2
CYP2W1	MXD1
